occupancy,fold,mean,std
occ0_2,0,-18.898830553815316,23.561206550974052
occ0_2,1,-18.718425910922424,22.523869745755295
occ0_2,2,-18.774313811762898,22.82437580001629
occ0_2,3,-18.90507099929992,23.007293386583545
occ0_2,4,-18.564090951296258,22.572983595141103
occ0_2,5,-18.741777962224667,23.158383085187737
occ0_2,6,-18.551449953826513,22.437880988512017
occ0_2,7,-18.745315297950043,22.919597980543188
occ0_2,8,-19.00418379931508,23.320610400019625
occ0_2,9,-18.37099023706121,22.669175118189894
occ0_5,0,-25.895422211664574,37.110429308068625
occ0_5,1,-26.094786208318492,36.72749515371677
occ0_5,2,-25.70867303709516,36.43106709239516
occ0_5,3,-25.705142769136074,36.363523991226366
occ0_5,4,-26.53054637952256,37.172154770908705
occ0_5,5,-26.013659103443814,36.57416168232613
occ0_5,6,-26.13313359315892,37.3059710525229
occ0_5,7,-25.8313449519518,36.99304491108297
occ0_5,8,-25.9689764008518,36.880388000864585
occ0_5,9,-25.503962048058618,35.58083336255573
occ0_7,0,-33.38754794033614,45.075695897211034
occ0_7,1,-33.37905989259134,45.48167158078303
occ0_7,2,-33.12390899110632,44.06356593604572
occ0_7,3,-33.644786692530545,44.402490464854424
occ0_7,4,-33.8273320770964,44.839143778262034
occ0_7,5,-33.434846018502405,44.943729995491665
occ0_7,6,-33.799662113628784,44.96894542033375
occ0_7,7,-34.0604884229507,45.92360636688233
occ0_7,8,-33.98698196760567,44.822715015707566
occ0_7,9,-33.288657875091964,45.729178151042134
occ0_9,0,-45.13076291595702,53.28529379333137
occ0_9,1,-44.94861558442226,52.455018281983
occ0_9,2,-44.287173390762796,52.01204080807344
occ0_9,3,-44.45864071308312,52.68812591356509
occ0_9,4,-44.972773326645196,52.228827283736884
occ0_9,5,-44.5979327354918,52.067000805868794
occ0_9,6,-45.06233071687528,52.37580474821386
occ0_9,7,-44.4734586799244,51.84785594199948
occ0_9,8,-44.431502097709625,51.77932169601926
occ0_9,9,-44.25118558775104,52.065205914393836
