occupancy,fold,time
occ0_2,0,0:00:00.050556
occ0_2,1,0:00:00.016212
occ0_2,2,0:00:00.015655
occ0_2,3,0:00:00.015591
occ0_2,4,0:00:00.015435
occ0_2,5,0:00:00.014702
occ0_2,6,0:00:00.015013
occ0_2,7,0:00:00.015427
occ0_2,8,0:00:00.015392
occ0_2,9,0:00:00.016097
occ0_5,0,0:00:00.020433
occ0_5,1,0:00:00.019460
occ0_5,2,0:00:00.016706
occ0_5,3,0:00:00.017839
occ0_5,4,0:00:00.017058
occ0_5,5,0:00:00.017262
occ0_5,6,0:00:00.014965
occ0_5,7,0:00:00.015334
occ0_5,8,0:00:00.015469
occ0_5,9,0:00:00.014524
occ0_7,0,0:00:00.015656
occ0_7,1,0:00:00.015404
occ0_7,2,0:00:00.015234
occ0_7,3,0:00:00.015807
occ0_7,4,0:00:00.015445
occ0_7,5,0:00:00.014664
occ0_7,6,0:00:00.014519
occ0_7,7,0:00:00.016041
occ0_7,8,0:00:00.015781
occ0_7,9,0:00:00.015394
occ0_9,0,0:00:00.015138
occ0_9,1,0:00:00.015742
occ0_9,2,0:00:00.015100
occ0_9,3,0:00:00.016306
occ0_9,4,0:00:00.015197
occ0_9,5,0:00:00.015501
occ0_9,6,0:00:00.017263
occ0_9,7,0:00:00.015443
occ0_9,8,0:00:00.015136
occ0_9,9,0:00:00.015191
