occupancy,fold,mean,std
occ0_2,0,-20.72656224184867,23.465754522055477
occ0_2,1,-20.433514301282166,22.447521004330575
occ0_2,2,-20.474998888335275,22.87769628188974
occ0_2,3,-20.593027375467877,23.03978013974692
occ0_2,4,-20.345951845478123,22.54899771047344
occ0_2,5,-20.498636044238072,23.062764844478515
occ0_2,6,-20.314190915259427,22.332390986678394
occ0_2,7,-20.513986240183417,22.82840487263745
occ0_2,8,-20.718505591634305,23.358152414444778
occ0_2,9,-20.21473172277641,22.668567742531994
occ0_5,0,-27.69685945815047,37.107883980486434
occ0_5,1,-27.815706803305634,36.6193700491192
occ0_5,2,-27.381061517920568,36.23703000538572
occ0_5,3,-27.5002986093221,36.20905150503359
occ0_5,4,-28.323811540475848,37.24812021680705
occ0_5,5,-27.757695388614568,36.480083683120704
occ0_5,6,-27.92859449604732,37.27935061633814
occ0_5,7,-27.612454329207296,37.070848318914855
occ0_5,8,-27.626071514210302,36.86920353383526
occ0_5,9,-27.376598461945004,35.472830267682674
occ0_7,0,-35.178456873048795,44.934152565377225
occ0_7,1,-35.1449699482828,45.399723971782045
occ0_7,2,-34.88214421174709,44.11316872767788
occ0_7,3,-35.373638624263535,44.470249958883635
occ0_7,4,-35.5749288152986,44.93468676813297
occ0_7,5,-35.04701725497505,44.92483701957153
occ0_7,6,-35.48458634152667,45.051598563905756
occ0_7,7,-35.74846014112441,46.008793322730405
occ0_7,8,-35.64347895233082,44.92946534155328
occ0_7,9,-35.13870950532073,45.49767525602674
occ0_9,0,-47.03586467117787,53.208769605745594
occ0_9,1,-46.885249290614865,52.336119406191145
occ0_9,2,-46.02502167536029,51.93778096171757
occ0_9,3,-46.268333864960724,52.921786316272986
occ0_9,4,-46.884314994158814,52.17923637083311
occ0_9,5,-46.37182949700783,51.989164939655566
occ0_9,6,-46.76586930587265,52.39166501961418
occ0_9,7,-46.17387381678086,51.688573077450236
occ0_9,8,-46.27219519355751,51.6731482416703
occ0_9,9,-46.016849037075716,52.08619300190577
