occupancy,fold,time
occ0_2,0,0:04:48.863614
occ0_2,1,0:04:52.175942
occ0_2,2,0:04:59.073556
occ0_2,3,0:04:52.482000
occ0_2,4,0:05:00.857069
occ0_2,5,0:04:53.458518
occ0_2,6,0:04:53.241942
occ0_2,7,0:04:58.927416
occ0_2,8,0:05:05.431494
occ0_2,9,0:05:04.754829
occ0_5,0,0:05:13.412850
occ0_5,1,0:05:20.600218
occ0_5,2,0:05:11.439532
occ0_5,3,0:05:08.096505
occ0_5,4,0:05:06.098760
occ0_5,5,0:05:05.533322
occ0_5,6,0:04:53.837450
occ0_5,7,0:05:12.182408
occ0_5,8,0:05:24.838007
occ0_5,9,0:05:24.523884
occ0_7,0,0:05:14.696104
occ0_7,1,0:05:13.944750
occ0_7,2,0:05:17.236401
occ0_7,3,0:05:16.712011
occ0_7,4,0:05:02.427393
occ0_7,5,0:04:46.641034
occ0_7,6,0:04:54.082873
occ0_7,7,0:04:43.568548
occ0_7,8,0:04:40.620444
occ0_7,9,0:04:42.545117
occ0_9,0,0:04:41.006110
occ0_9,1,0:04:38.237108
occ0_9,2,0:04:38.122656
occ0_9,3,0:04:42.656892
occ0_9,4,0:04:58.520176
occ0_9,5,0:05:03.129364
occ0_9,6,0:04:55.960552
occ0_9,7,0:04:56.533452
occ0_9,8,0:04:51.886375
occ0_9,9,0:04:54.418437
