occupancy,fold,time
occ0_2,0,0:00:00.023937
occ0_2,1,0:00:00.022884
occ0_2,2,0:00:00.022261
occ0_2,3,0:00:00.022608
occ0_2,4,0:00:00.021433
occ0_2,5,0:00:00.022825
occ0_2,6,0:00:00.022099
occ0_2,7,0:00:00.022875
occ0_2,8,0:00:00.023423
occ0_2,9,0:00:00.022911
occ0_5,0,0:00:00.021972
occ0_5,1,0:00:00.022768
occ0_5,2,0:00:00.021381
occ0_5,3,0:00:00.023858
occ0_5,4,0:00:00.022215
occ0_5,5,0:00:00.022435
occ0_5,6,0:00:00.022128
occ0_5,7,0:00:00.022657
occ0_5,8,0:00:00.022021
occ0_5,9,0:00:00.022507
occ0_7,0,0:00:00.022938
occ0_7,1,0:00:00.022646
occ0_7,2,0:00:00.023729
occ0_7,3,0:00:00.022778
occ0_7,4,0:00:00.023678
occ0_7,5,0:00:00.024061
occ0_7,6,0:00:00.022897
occ0_7,7,0:00:00.024881
occ0_7,8,0:00:00.023869
occ0_7,9,0:00:00.022712
occ0_9,0,0:00:00.024359
occ0_9,1,0:00:00.022791
occ0_9,2,0:00:00.022409
occ0_9,3,0:00:00.023313
occ0_9,4,0:00:00.023153
occ0_9,5,0:00:00.022936
occ0_9,6,0:00:00.022558
occ0_9,7,0:00:00.022472
occ0_9,8,0:00:00.021862
occ0_9,9,0:00:00.022516
